t,h
0.25004979725000004,0.4355781502546114
0.25011083240625004,0.43338755555213665
0.25017186756250004,0.4311389480600269
0.25023290271875004,0.42883259469329454
0.25029393787500004,0.4264687702213452
0.25035497303125004,0.4240477572396271
0.25041600818750004,0.4215698461402451
0.25047704334375004,0.41903533508141694
0.25053807850000004,0.4164445299559687
0.25059911365625004,0.4137977443586414
0.25066014881250004,0.41109529955247515
0.25072118396875004,0.4083375244339826
0.25078221912500004,0.4055247554974026
0.25084325428125004,0.4026573367978246
0.25090428943750004,0.3997356199132744
0.25096532459375004,0.3967599639057555
0.25102635975000004,0.3937307352812232
0.25108739490625004,0.3906483079486131
0.25114843006250004,0.38751306317769774
0.25120946521875004,0.38432538955598655
0.25127050037500004,0.3810856829446332
0.25133153553125004,0.3777943464332604
0.25139257068750004,0.37445179029373227
0.25145360584375004,0.3710584319330349
0.25151464100000004,0.36761469584501416
0.25157567615625004,0.364121013561212
0.25163671131250004,0.36057782360065455
0.25169774646875004,0.3569855714186342
0.25175878162500004,0.3533447093545137
0.25181981678125004,0.34965569657860107
0.25188085193750004,0.34591899903803763
0.25194188709375004,0.3421350894015914
0.25200292225000004,0.33830444700367035
0.25206395740625004,0.33442755778728367
0.25212499256250004,0.33050491424600675
0.25218602771875004,0.3265370153651308
0.25224706287500004,0.3225243665616066
0.25230809803125004,0.3184674796235095
0.25236913318750004,0.31436687264803115
0.25243016834375004,0.3102230699790086
0.25249120350000004,0.3060366021432569
0.25255223865625004,0.3018080057861018
0.25261327381250004,0.2975378236060323
0.25267430896875004,0.29322660428844655
0.25273534412500004,0.28887490243843766
0.25279637928125004,0.2844832785128097
0.25285741443750004,0.28005229875116494
0.25291844959375004,0.27558253510613645
0.25297948475000004,0.27107456517278944
0.25304051990625004,0.2665289721171876
0.25310155506250004,0.2619463446040067
0.25316259021875004,0.257327276723532
0.25322362537500004,0.252672367917616
0.25328466053125004,0.24798222290501887
0.25334569568750004,0.24325745160570383
0.25340673084375004,0.23849866906463923
0.25346776600000004,0.2337064953746029
0.25352880115625004,0.22888155559823803
0.25358983631250004,0.2240244796894376
0.25365087146875004,0.2191359024138716
0.25371190662500004,0.2142164632687828
0.25377294178125004,0.20926680640209933
0.25383397693750004,0.20428758053082607
0.25389501209375004,0.1992794388585581
0.25395604725000004,0.1942430389925486
0.25401708240625004,0.18917904285982132
0.25407811756250004,0.18408811662270247
0.25413915271875004,0.17897093059382757
0.25420018787500004,0.17382815915014777
0.25426122303125004,0.16866048064661743
0.25432225818750004,0.16346857732893913
0.25438329334375004,0.1582531352458804
0.25444432850000004,0.1530148441609731
0.25450536365625004,0.14775439746340677
0.25456639881250004,0.1424724920785229
0.25462743396875004,0.13716982837757571
0.25468846912500004,0.13184711008703523
0.25474950428125004,0.12650504419719052
0.25481053943750004,0.12114434087035116
0.25487157459375004,0.11576571334829217
0.25493260975000004,0.11036987785932756
0.25499364490625004,0.10495755352494708
0.25505468006250004,0.09952946226552345
0.25511571521875004,0.09408632870614984
0.25517675037500004,0.08862888008135159
0.25523778553125004,0.08315784613975377
0.25529882068750004,0.07767395904815896
0.25535985584375004,0.0721779532951531
0.25542089100000004,0.0666705655941642
0.25548192615625004,0.06115253478634188
0.25554296131250004,0.05562460174288224
0.25560399646875004,0.05008750926686891
0.25566503162500004,0.04454200199489989
0.25572606678125004,0.038988826298195854
0.25578710193750004,0.033428730183452326
0.25584813709375004,0.027862463193232323
0.25590917225000004,0.02229077630601988
0.25597020740625004,0.016714421836254535
0.25603124256250004,0.01113415333348186
0.25609227771875004,0.005550725481694154
0.25615331287500004,-3.5106001723482135e-05
0.25621434803125004,-0.00562258446755207
0.25627538318750004,-0.011210952436243909
0.25633641834375004,-0.016799451699905828
0.25639745350000004,-0.022387323424399606
0.25645848865625004,-0.027973808251593943
0.25651952381250004,-0.033558146402101564
0.25658055896875004,-0.039139577777929646
0.25664159412500004,-0.04471734206528217
0.25670262928125004,-0.05029067883795557
0.25676366443750004,-0.05585882766032161
0.25682469959375004,-0.0614210281909504
0.25688573475000004,-0.06697652028598378
0.25694676990625004,-0.07252454410271372
0.25700780506250004,-0.07806434020360124
0.25706884021875004,-0.08359514965974163
0.25712987537500004,-0.0891162141548309
0.25719091053125004,-0.0946267760893054
0.25725194568750004,-0.10012607868407776
0.25731298084375004,-0.10561336608454774
0.25737401600000004,-0.1110878834648107
0.25743505115625004,-0.11654887713138272
0.25749608631250004,-0.1219955946274224
0.25755712146875004,-0.1274272848364888
0.25761815662500004,-0.1328431980866125
0.25767919178125004,-0.1382425862541271
0.25774022693750004,-0.14362470286727705
0.25780126209375004,-0.1489888032101432
0.25786229725000004,-0.1543341444260212
0.25792333240625004,-0.15965998562109932
0.25798436756250004,-0.16496558796755134
0.25804540271875004,-0.1702502148068855
0.25810643787500004,-0.175513131753045
0.25816747303125004,-0.18075360679504052
0.25822850818750004,-0.1859709103997584
0.25828954334375004,-0.1911643156143693
0.25835057850000004,-0.19633309816859015
0.25841161365625004,-0.20147653657662948
0.25847264881250004,-0.20659391223902349
0.25853368396875004,-0.21168450954401072
0.25859471912500004,-0.21674761596883013
